Family;Species;Author;Synonyms;LocalName;FileNamePhoto;FileNameID;Comments;FigOneWidth;FigTwoWidth
Grossulariaceae;Ribes orientale;Desf.;;;Ribes_orientale_1.jpg;Ribes_orientale_2.jpg;;;
Grossulariaceae;Ribes takare;D. Don;;;Ribes_takare_1.jpg;;;;
Hydrangeaceae;Hydrangea anomala;D. Don;;;Hydrangea_anomala_1.jpg;Hydrangea_anomala_2.jpg;;;
Hydrangeaceae;Hydrangea aspera;Buch.-Ham. ex D.Don;;;Hydrangea_aspera_1.jpg;Hydrangea_aspera_2.jpg;;;
Hydrangeaceae;Hydrangea febrifuga;(Lour.) Y.De Smet \& Granados;;;Hydrangea_febrifuga_1.jpg;Hydrangea_febrifuga_2.jpg;;;
Hydrangeaceae;Hydrangea heteromalla;D. Don;;Himalayan Hydrangea;Hydrangea_heteromalla_1.jpg;Hydrangea_heteromalla_2.jpg;;;
Hydrangeaceae;Philadelphus tomentosus;Wall. ex G.Don;;Mock Orange;Philadelphus_tomentosus_1.jpg;Philadelphus_tomentosus_2.jpg;;;
Hypericaceae;Hypericum elodeoides;Choisy;;Himalayan St. Johns Wort;Hypericum_elodeoides_1.jpg;Hypericum_elodeoides_2.jpg;;;
Hypericaceae;Hypericum podocarpoides;N.Robson;;;Hypericum_podocarpoides_1.jpg;Hypericum_podocarpoides_2.jpg;;;
Hypericaceae;Hypericum uralum;Buch.-Ham. ex D.Don;;Narrow-leaved St Johns Wort;Hypericum_uralum_1.jpg;Hypericum_uralum_2.jpg;;;
Juglandaceae;Juglans regia;L.;;Himalayan Walnut;Juglans_regia_1.jpg;;;;
Lamiaceae;Callicarpa arborea;Roxb.;;Beauty berry;Callicarpa_arborea_1.jpg;Callicarpa_arborea_2.jpg;;;
Lamiaceae;Colquhounia coccinea;Wall.;;Himalayan Mint Shrub;Colquhounia_coccinea_1.jpg;Colquhounia_coccinea_2.jpg;;;
Lamiaceae;Elsholtzia flava;(Benth.) Benth;;;Elsholtzia_flava_2.jpg;Elsholtzia_flava_1.jpg;;;
Lamiaceae;Elsholtzia fruticosa;(D. Don) Rehder;;Shrubby Mint;Elsholtzia_fruticosa_1.jpg;Elsholtzia_fruticosa_2.jpg;;;
Lamiaceae;Leucosceptrum canum;Sm.;;;Leucosceptrum_canum_1.jpg;Leucosceptrum_canum_2.jpg;;;
